drugbank_id	recon_id
DB00114	pydx5p
DB00116	thf
DB00117	his_L
DB00118	amet
DB00119	pyr
DB00120	phe_L
DB00121	btn
DB00122	chol
DB00123	lys_L
DB00125	arg_D
DB00125	arg_L
DB00126	ascb_L
DB00127	sprm
DB00128	asp_D
DB00128	asp_L
DB00129	orn
DB00129	orn_D
DB00130	gln_L
DB00131	amp
DB00132	lnlnca
DB00133	ser_D
DB00133	ser_L
DB00134	met_L
DB00135	tyr_L
DB00136	1a25dhvitd3
DB00138	Lcystin
DB00139	succ
DB00140	ribflv
DB00142	glu_L
DB00143	gthrd
DB00145	gly
DB00146	25hvitd3
DB00147	pydx
DB00148	creat
DB00149	leu_L
DB00150	trp_L
DB00151	cys_L
DB00152	thm
DB00153	vitd2
DB00154	CE2516
DB00154	HC02100
DB00154	dlnlcg
DB00155	citr_L
DB00156	thr_L
DB00158	fol
DB00159	CE2540
DB00159	tmndnc
DB00160	ala_D
DB00160	ala_L
DB00161	val_L
DB00162	retinol
DB00162	retinol_9_cis
DB00162	retinol_cis_11
DB00162	retinol_cis_13
DB00163	avite1
DB00165	pydxn
DB00166	lipoate
DB00167	ile_L
DB00169	vitd3
DB00171	atp
DB00172	pro_D
DB00172	pro_L
DB00173	ade
DB00174	asn_L
DB00194	adn
DB00200	aqcobal
DB00200	h2o
DB00200	oh1
DB00258	ac
DB00258	ca2
DB00279	triodthy
DB00360	thbpt
DB00364	h2o
DB00364	oh1
DB00368	nrpphr
DB00396	prgstrn
DB00416	i
DB00435	no
DB00451	thyox_L
DB00464	na1
DB00483	i
DB00509	thyox_L
DB00515	cl
DB00515	nh4
DB00523	13_cis_retn
DB00523	CE1617
DB00523	CE5594
DB00523	retn
DB00526	oxa
DB00534	cl
DB00548	C08261
DB00583	crn
DB00624	tststerone
DB00627	nac
DB00640	adn
DB00650	5fthf
DB00653	so4
DB00655	estrone
DB00668	adrnl
DB00736	omeprazole
DB00741	crtsl
DB00742	C01507
DB00742	galt
DB00742	sbt_D
DB00755	13_cis_retn
DB00755	CE1617
DB00755	CE5594
DB00755	retn
DB00761	cl
DB00761	k
DB00770	prostge1
DB00783	estradiol
DB00815	na1
DB00829	C06948
DB00847	cysam
DB00855	5aop
DB00895	lys_L
DB00898	etoh
DB00907	coke
DB00917	prostge2
DB00958	nh4
DB00982	13_cis_retn
DB00982	CE1617
DB00982	CE5594
DB00982	retn
DB00987	cytd
DB00988	dopa
DB01022	phyQ
DB01115	nifedipine
DB01124	tolbutamide
DB01160	CE5924
DB01160	HC02216
DB01160	prostgf2
DB01164	ca2
DB01164	cl
DB01229	taxol
DB01235	34dhphe
DB01240	prostgi2
DB01265	thymd
DB01294	h2o
DB01294	oh1
DB01296	gam
DB01303	chol
DB01345	k
DB01375	h2o
DB01375	ocdca
DB01375	oh1
DB01390	hco3
DB01390	na1
DB01401	chol
DB01435	antipyrene
DB01494	glyb
DB01495	antipyrene
DB01524	C04295
DB01525	ecgon
DB01525	pecgon
DB01530	CE2209
DB01536	andrstndn
DB01561	andrstandn
DB01574	h2o
DB01574	oh1
DB01575	h2o
DB01575	oh1
DB01583	na1
DB01583	thyox_L
DB01583	triodthy
DB01586	C02528
DB01632	prpp
DB01638	C01507
DB01638	galt
DB01638	sbt_D
DB01643	dtmp
DB01646	C02712
DB01650	2coum
DB01652	4hbzcoa
DB01655	6pgc
DB01671	h2o
DB01671	oh1
DB01675	2mp2coa
DB01677	fum
DB01687	lcts
DB01687	malt
DB01692	dtt
DB01697	malttr
DB01700	aicar
DB01702	34dhpha
DB01708	dhea
DB01709	2pg
DB01713	udpxyl
DB01727	icit
DB01729	mi134p
DB01729	mi145p
DB01738	ethamp
DB01739	ile_L
DB01746	leu_L
DB01747	fe3
DB01751	CE2881
DB01752	ahcys
DB01758	3ityr_L
DB01762	acac
DB01774	adpglc
DB01774	adpman
DB01775	dha
DB01783	pnto_R
DB01785	dmpp
DB01786	ala_D
DB01786	ala_L
DB01796	quln
DB01811	CE4888
DB01812	pap
DB01819	pep
DB01822	dttOX
DB01828	mma
DB01839	12ppd_R
DB01839	12ppd_S
DB01849	56dura
DB01861	udpg
DB01861	udpgal
DB01863	mi1345p
DB01880	34dhcinm
DB01912	cl
DB01917	ptrc
DB01923	ru5p_D
DB01923	xu5p_D
DB01936	rib_D
DB01942	for
DB01956	taur
DB01971	urcan
DB01972	gmp
DB01982	glcur
DB01987	thmpp
DB01990	chsterols
DB01992	coa
DB02007	g6p
DB02007	man6p
DB02013	h2o
DB02013	oh1
DB02015	dhf
DB02031	thf
DB02056	prostgd2
DB02059	adprib
DB02061	lcts
DB02061	malt
DB02070	Lkynr
DB02073	biliverd
DB02076	6pgc
DB02083	dmgly
DB02092	HC02024
DB02097	cytd
DB02123	dgchol
DB02129	dhor_S
DB02134	xan
DB02142	pyam5p
DB02153	3sala
